identifier	synonyms	search
Detroit 562	detroit-562	pharyngeal
Detroit 562	detroit 562	pharyngeal
Detroit 562	d562	pharyngeal
Detroit 562	det. 562	pharyngeal
Detroit 562	detroit562	pharyngeal
Detroit 562	det 562	pharyngeal
TYK-nu	tyk-nu	ovarian
FU-OV-1	fuov1	ovarian
Kuramochi	kuramochi	ovarian
Caov-4	caov-4	ovarian
OVCAR-3	ovcar 3	ovarian
HEY	hey	ovarian
OVCAR-8	ovcar8	ovarian
OAW28	oaw 28	ovarian
OAW28	oaw-28	ovarian
OVCAR-8	ovca8	ovarian
OVCAR-4	ovcar.4	ovarian
OVCAR-8	nih:ovcar-8	ovarian
OVCAR-4	ovcar4	ovarian
JHOS-4	jhos-4	ovarian
OVCAR-3	nih:ovcar-3	ovarian
OVCAR-3	ovcar-3	ovarian
Caov-4	caov4	ovarian
Caov-3	caov-3	ovarian
OVCAR-5	ovcar5	ovarian
TYK-nu	tyknu	ovarian
OVCAR-5	ovcar-5	ovarian
OVCAR-3	ovcar3	ovarian
OVCAR-3	nihovcar3	ovarian
OVCAR-8	ovcar-8	ovarian
Caov-3	caov3	ovarian
OVCAR-5	nih:ovcar-5	ovarian
OVCAR-3	nih:ovcar3	ovarian
JHOS-4	jhos4	ovarian
OVCAR-3	ovcar.3	ovarian
Caov-3	ca-ov-3	ovarian
OVCAR-3	nih-ovcar-3	ovarian
OVCAR-4	ovcar-4	ovarian
JHOS-2	jhos2	ovarian
JHOS-2	jhos-2	ovarian
OVCAR-4	nih:ovcar-4	ovarian
OVCAR-4	ovcar 4	ovarian
OVCAR-5	ovca5	ovarian
OVCAR-5	ovcar 5	ovarian
OVCAR-4	nih:ovcar4	ovarian
OVCAR-8	ovcar 8	ovarian
OAW28	oaw28	ovarian
FU-OV-1	fu-ov-1	ovarian
OVKATE	ovkate	ovarian
OVMIU	ovmiu	ovarian
OVCAR-8	ovcar.8	ovarian
OVCAR-5	ovcar.5	ovarian
MFE-319	mfe319	endometrial
RL95-2	rl-95-2	endometrial
RL95-2	rl-952	endometrial
MFE-319	mfe-319	endometrial
RL95-2	rl95	endometrial
RL95-2	rl95-2	endometrial
RL95-2	rl952	endometrial
Ca9-22	ca9-22	gingival
Ca9-22	ca 9-22	gingival
Ca9-22	ca922	gingival
DOK	dysplastic oral keratinocyte	oral
DOK	dok	oral
U-CH2	uch2	chordoma
U-CH2	u-ch2	chordoma
HMV-II	hmv-2	vaginal
HMV-II	hmvii	vaginal
HMV-II	human melanoma vagina-ii	vaginal
HMV-II	hmv-ii	vaginal
H-EMC-SS	h-emc-ss	chondrosarcoma
H-EMC-SS	hemc-ss	chondrosarcoma
H-EMC-SS	hemcss	chondrosarcoma
MS751	ms-751	cervical
SKG-IIIa	skg3a	cervical
C-4-I	c-4 i	cervical
SW756	sw 756	cervical
SiHa	siha	cervical
C-4-I	c-4-i	cervical
C-4-I	hs 636 t	cervical
C-4-I	c41	cervical
ME-180	me180	cervical
SKG-IIIa	skg-iiia	cervical
ME-180	me-180	cervical
SKG-IIIa	skg iiia	cervical
SKG-IIIa	skgiiia	cervical
C-4-I	c-4i	cervical
Ca Ski	caski	cervical
ME-180	me 180	cervical
C-4-I	c4-i	cervical
Ca Ski	ca ski	cervical
C-4-I	c4 i	cervical
Ca Ski	ca-ski	cervical
MS751	ms 751	cervical
C-4-I	c4i	cervical
C-4-I	c4-1	cervical
SW756	sw-756	cervical
MS751	ms751	cervical
C-4-I	hs 636.t	cervical
SW756	sw756	cervical
SKG-IIIa	skg-3a	cervical
SiSo	siso	cervical
HeLa	he la	cervical
HeLa	hela	cervical
HeLa	henrietta lacks cells	cervical
HeLa	helacyton gartleri	cervical
HeLa	he-la	cervical
Jiyoye	jiyoye (p-2003)	lymphoma
Daudi	nk10a	lymphoma
Jiyoye	ob2	lymphoma
Daudi	daudi	lymphoma
Daudi	nk-10a	lymphoma
Namalwa	namalva	lymphoma
P32/ISH	p32-ish	lymphoma
Jiyoye	jiyoye	lymphoma
Daudi	nk 10a	lymphoma
Jiyoye	jijoye	lymphoma
EB2	epstein-barr-2	lymphoma
Jiyoye	p3 (jiyoye)	lymphoma
Raji	gm04671	lymphoma
EB2	eb-2	lymphoma
Namalwa	nwa	lymphoma
P32/ISH	p32 ish	lymphoma
P32/ISH	ishida	lymphoma
P32/ISH	p32	lymphoma
Jiyoye	p-3j	lymphoma
Jiyoye	p-2003	lymphoma
Jiyoye	jiyoyep-2003	lymphoma
Jiyoye	p3j	lymphoma
Raji	raji	lymphoma
Raji	p1-raji	lymphoma
P32/ISH	p32/ishida	lymphoma
EB3 [Human Burkitt lymphoma]	epstein-barr-3	lymphoma
EB3 [Human Burkitt lymphoma]	eb3 [human burkitt lymphoma]	lymphoma
Daudi	gm17346	lymphoma
Namalwa	nk62a	lymphoma
Daudi	gm03190a	lymphoma
Jiyoye	gm04678	lymphoma
EB2	eb2	lymphoma
EB3 [Human Burkitt lymphoma]	eb-3	lymphoma
Jiyoye	p3-jiyoye	lymphoma
P32/ISH	p32/ish	lymphoma
Daudi	gm3190	lymphoma
Jiyoye	jiyoye(p-2003)	lymphoma
Daudi	gm03190	lymphoma
EB3 [Human Burkitt lymphoma]	gm04679	lymphoma
Namalwa	namalwa	lymphoma
BPH-1	bph-1	prostate
BPH-1	bph1	prostate
BL-70	iarc bl 70	burkitt
BL-41	iarc bl 41	burkitt
Ramos.2G6.4C10	ramos.2g6.4c10	burkitt
BL-41	iarc-bl-41	burkitt
Ramos.2G6.4C10	ramos2g64c10	burkitt
BL-70	bl-70	burkitt
ST486	st 486	burkitt
ST486	st486	burkitt
CA46	ca46	burkitt
DG-75	dg-75	burkitt
BL-41	bl 41	burkitt
BL-70	iarc/bl70	burkitt
CA46	ca-46	burkitt
Ramos.2G6.4C10	ramos g6.c10	burkitt
DG-75	dg75	burkitt
BL-70	iarc/bl 70	burkitt
Ramos.2G6.4C10	ramos-2g6-4c10	burkitt
BL-70	iarc bl70	burkitt
DG-75	d.g.-75	burkitt
MN-60	mn 60	burkitt
Ramos.2G6.4C10	ramos.g6.c10	burkitt
BL-41	bl-41	burkitt
MN-60	mn-60	burkitt
BL-70	bl 70	burkitt
BL-70	iarc-bl70	burkitt
BL-70	bl70	burkitt
CA46	ca 46	burkitt
MN-60	mn60	burkitt
Ramos.2G6.4C10	ramos 2g6.4c10	burkitt
BL-41	iarc bl41	burkitt
DG-75	dg 75	burkitt
BL-41	iarc/bl41	burkitt
Ramos.2G6.4C10	ramos 2g6 4c10	burkitt
BL-41	bl41	burkitt
BL-41	iarc-bl41	burkitt
BL-41	iarc/bl 41	burkitt
NCI-H1650	nci-h1650	lung
NCI-H1666	ncih1666	lung
NCI-H322M	h322m	lung
NCI-H1650	h1650	lung
SW1573	sw-1573	lung
NCI-H1650	ncih1650	lung
NCI-H1781	ncih1781	lung
NCI-H358	h-358	lung
NCI-H1666	h-1666	lung
NCI-H1666	h1666	lung
NCI-H358	nci-h358	lung
NCI-H1781	nci-h1781	lung
NCI-H1650	h-1650	lung
NCI-H1781	h-1781	lung
SW1573	sw 1573	lung
NCI-H322M	nci.h322m	lung
NCI-H358	h358	lung
NCI-H322M	nci-h322m	lung
NCI-H322M	h-322m	lung
SW1573	sw1573	lung
NCI-H1666	nci-h1666	lung
NCI-H1650	h1650_co	lung
NCI-H358	ncih358	lung
NCI-H1781	h1781	lung
NCI-H1666	h1666_da	lung
CAL-12T	cal 12t	non-small cell lung
NCI-H1770	ncih1770	non-small cell lung
CAL-12T	cal12t	non-small cell lung
NCI-H2444	h-2444	non-small cell lung
HOP-92	hop92	non-small cell lung
NCI-H1915	ncih1915	non-small cell lung
HOP-92	hopkins-92	non-small cell lung
NCI-H2110	nci-h2110	non-small cell lung
EMC-BAC-2	emc-bac-2	non-small cell lung
EMC-BAC-1	emc-bac-1	non-small cell lung
NCI-H1770	nci-h1770	non-small cell lung
HOP-92	hop-92	non-small cell lung
NCI-H1770	h1770	non-small cell lung
NCI-H1915	h1915	non-small cell lung
NCI-H2135	ncih2135	non-small cell lung
NCI-H2444	h2444	non-small cell lung
NCI-H2135	nci-h2135	non-small cell lung
NCI-H2135	h2135	non-small cell lung
CAL-12T	cal 12	non-small cell lung
HOP-92	hop 92	non-small cell lung
CAL-12T	cal-12t	non-small cell lung
NCI-H1770	h-1770	non-small cell lung
NCI-H2135	h-2135	non-small cell lung
NCI-H2444	nci-h2444	non-small cell lung
NCI-H2172	ncih2172	non-small cell lung
NCI-H2172	h2172	non-small cell lung
NCI-H2444	ncih244	non-small cell lung
EMC-BAC-1	emcbac1	non-small cell lung
NCI-H2110	h2110	non-small cell lung
NCI-H2110	h-2110	non-small cell lung
EMC-BAC-2	emcbac2	non-small cell lung
NCI-H1915	nci-h1915	non-small cell lung
CAL-12T	centre antoine lacassagne-12t	non-small cell lung
NCI-H1915	h-1915	non-small cell lung
NCI-H2172	nci-h2172	non-small cell lung
BEN	ben	non-small cell lung
NCI-H2172	h-2172	non-small cell lung
NCI-H2110	ncih2110	non-small cell lung
A-388	a-388	squamous
A-388	a388	squamous
CHSA0108	chsa0108	sarcoma
CS-1 [Human chondrosarcoma]	cs-1 [human chondrosarcoma]	sarcoma
CS-1 [Human chondrosarcoma]	cs1	sarcoma
CHSA8926	chsa8926	sarcoma
CHSA8926	chsa 8926	sarcoma
CHSA0011	chsa0011	sarcoma
CHSA0011	chsa 0011	sarcoma
CS-1 [Human chondrosarcoma]	chsa cell line	sarcoma
CHSA0108	chsa 0108	sarcoma
DiFi	difi	colorectal
CFPAC-1	cfpac1	pancreatic
CFPAC-1	cf pac1	pancreatic
CFPAC-1	cfpac-1	pancreatic
CFPAC-1	cf-pac1	pancreatic
CFPAC-1	cfpac	pancreatic
CFPAC-1	cf pac-1	pancreatic
CMK	cmk	leukemia
HT-1080	ht-1080	sarcoma
HT-1080	ht 1080.t	sarcoma
HT-1080	ht 1080	sarcoma
Hs 633.T	hs633t	sarcoma
Hs 633.T	mba/8387	sarcoma
Hs 633.T	8387	sarcoma
Hs 633.T	hs-633t	sarcoma
SW684	sw-684	sarcoma
Hs 633.T	hs 633t	sarcoma
Hs 633.T	hs 8387	sarcoma
Hs 633.T	hs 633.t	sarcoma
SW684	sw 684	sarcoma
HT-1080	ht1080	sarcoma
SW684	sw684	sarcoma
Hs 633.T	mb 8387	sarcoma
Hs 633.T	line 8387	sarcoma
U-87MG ATCC	87mg	glioblastoma
DBTRG-05MG	dbtrg.05mg	glioblastoma
U-87MG ATCC	87 mg	glioblastoma
42-MG-BA	42-mg-ba	glioblastoma
SF295	sf 295	glioblastoma
T98G	t-98g	glioblastoma
T98G	t98 g	glioblastoma
D-245MG	d-245 mg	glioblastoma
T98G	t98g	glioblastoma
D-392MG	d392mg	glioblastoma
CAS-1	cas-1	glioblastoma
Onda 11	case 3	glioblastoma
U-87MG ATCC	u-87	glioblastoma
YKG-1	ykg1	glioblastoma
A-172	a172	glioblastoma
SF126	sf126	glioblastoma
LN-405	ln405	glioblastoma
A-172	a-172	glioblastoma
KNS-42	kns42	glioblastoma
U-87MG ATCC	u-87 mg	glioblastoma
U-87MG ATCC	u87 mg	glioblastoma
GaMG	gamg	glioblastoma
D-502MG	d-502 mg	glioblastoma
U-87MG ATCC	u-87mg atcc	glioblastoma
D-423MG	d-423 mg	glioblastoma
D-423MG	d423mg	glioblastoma
D-542MG	d-542mg	glioblastoma
T98G	t 98 g	glioblastoma
YH-13	yh-13	glioblastoma
D-245MG	d245mg	glioblastoma
U-87MG ATCC	u-87mg	glioblastoma
KNS-42	kns-42	glioblastoma
DBTRG-05MG	dbtrg-05mg	glioblastoma
D-502MG	d502mg	glioblastoma
SF295	sf295	glioblastoma
CAS-1	cas1	glioblastoma
A-172	a-172 mg	glioblastoma
SF295	sf-295	glioblastoma
KS-1 [Human glioblastoma]	ks-1 [human glioblastoma]	glioblastoma
D-542MG	d542mg	glioblastoma
DK-MG	dkmg	glioblastoma
M059J	m059j	glioblastoma
D-502MG	d-502mg	glioblastoma
D-245MG	d245 mg	glioblastoma
8-MG-BA	8mgba	glioblastoma
KNS-81-FD	kns-81-fd	glioblastoma
Onda 10	no.10	glioblastoma
D-263MG	d-263 mg	glioblastoma
GMS-10	gms-10	glioblastoma
LN-18	ln18	glioblastoma
Onda 11	onda 11	glioblastoma
Onda 10	onda 10	glioblastoma
LN-229	ln 229	glioblastoma
U-87MG ATCC	u87	glioblastoma
SF126	sf-126	glioblastoma
D-423MG	d-423mg	glioblastoma
D-392MG	d-392mg	glioblastoma
LN-18	ln018	glioblastoma
LN-18	ln 18	glioblastoma
M059J	mo59j	glioblastoma
DK-MG	dk-mg	glioblastoma
42-MG-BA	42mgba	glioblastoma
D-245MG	d-245mg	glioblastoma
AM-38	am38	glioblastoma
D-392MG	d-392 mg	glioblastoma
SNB-75	snb.75	glioblastoma
SNB-75	snb-75	glioblastoma
D-336MG	d-336 mg	glioblastoma
KALS-1	kals-1	glioblastoma
A-172	a 172	glioblastoma
KALS-1	kals1	glioblastoma
AM-38	am	glioblastoma
AM-38	am-38	glioblastoma
LN-229	ln-229	glioblastoma
D-566MG	d566mg	glioblastoma
U-87MG ATCC	u87mg	glioblastoma
DBTRG-05MG	dbtrg05mg	glioblastoma
T98G	t98-g	glioblastoma
LN-18	ln-18	glioblastoma
SF126	sf 126	glioblastoma
A-172	a-172mg	glioblastoma
M059J	mo 59j	glioblastoma
LN-229	lnt-229	glioblastoma
LN-229	ln229	glioblastoma
Onda 10	case 6	glioblastoma
GaMG	ga-mg	glioblastoma
Onda 11	no-11	glioblastoma
D-336MG	d336mg	glioblastoma
YKG-1	ykg-1	glioblastoma
YH-13	yh	glioblastoma
GB-1	gb-1	glioblastoma
LN-405	ln-405	glioblastoma
8-MG-BA	8-mg-ba	glioblastoma
D-566MG	d-566mg	glioblastoma
GB-1	gb1	glioblastoma
D-336MG	d-336mg	glioblastoma
DBTRG-05MG	dbtrg	glioblastoma
LN-405	ln 405	glioblastoma
Onda 10	no-10	glioblastoma
Onda 11	no.11	glioblastoma
SNB-75	snb75	glioblastoma
D-263MG	d263mg	glioblastoma
KNS-81-FD	kns81fd	glioblastoma
GMS-10	gms10	glioblastoma
U-87MG ATCC	u87-mg	glioblastoma
KNS-81-FD	kns-81fd	glioblastoma
D-263MG	d-263mg	glioblastoma
U-87MG ATCC	u-87-mg	glioblastoma
CML-T1	cml t1	leukemia
KCL-22	kcl-22	leukemia
Ku812	ku812	leukemia
CML-T1	cml-t1	leukemia
MEG-01	meg01	leukemia
LAMA-84	lama84	leukemia
RPMI-8866	rpmi-8866	leukemia
KCL-22	kcl22s	leukemia
Ku812	ku-812	leukemia
CML-T1	cmlt-1	leukemia
CML-T1	cmlt1	leukemia
BV-173	bv-173	leukemia
RPMI-8866	rpmi 8866	leukemia
RPMI-8866	r8866	leukemia
JURL-MK1	jurl-mk1	leukemia
Ku812	ku 812	leukemia
K-562	k562	leukemia
LAMA-84	lama-84	leukemia
K-562	k-562	leukemia
Ku812	ku.812	leukemia
RPMI-8866	roswell park memorial institute 8866	leukemia
KCL-22	kcl22	leukemia
RPMI-8866	rpmi8866	leukemia
MEG-01	meg-01	leukemia
K-562	gm05372e	leukemia
BV-173	bv173	leukemia
K-562	gm05372	leukemia
K-562	k 562	leukemia
NB4	nb.4	leukemia
NB4	nb-4	leukemia
NB4	nb4	leukemia
SW872	sw 872	liposarcoma
SW872	sw-872	liposarcoma
SW872	sw872	liposarcoma
RF-48	rf-48	lymphoma
RF-48	rf48	lymphoma
Sc-1	sci-1	lymphoma
Sc-1	sc1	lymphoma
Sc-1	scott	lymphoma
