identifier	search	summed_citations
HL-60	leukemia	109000
MDA-MB-231	breast	102000
HeLa	cervical	86324
PC-3	prostate	83200
DU145	prostate	42402
NCI-H460	lung	32822
Jurkat	leukemia	32312
CCRF-CEM	leukemia	27664
MDA-MB-468	breast	21480
T24	bladder	21260
SaOS-2	osteosarcoma	21106
NCI-H1299	lung	20370
THP-1	leukemia	19476
Raji	lymphoma	19308
HCT 116	colon	19100
SW620	colon	18390
A2780	ovarian	17568
Onda 11	glioblastoma	17276
A-549	lung	17148
Onda 10	glioblastoma	16350
KG-1	leukemia	16300
ML-2	leukemia	16300
LoVo	colon	15700
OVCAR-3	ovarian	15480
MOLT-4	leukemia	15203
U2OS	osteosarcoma	14908
U-87MG ATCC	glioblastoma	14618
Daudi	lymphoma	14202
MKN45	gastric	13420
K-562	leukemia	13001
SiHa	cervical	11700
BxPC-3	pancreatic	10800
NCI-H23	lung	10770
MIA PaCa-2	pancreatic	10530
NB4	leukemia	10300
Huh-7	hepatocellular	9982
SK-N-SH	neuroblastoma	9740
NCI-H69	lung	9554
MG-63	osteosarcoma	9470
T98G	glioblastoma	9428
SK-MEL-28	melanoma	8811
T84	colon	8750
M14	melanoma	8731
HT-1080	fibrosarcoma	8688
MDA-MB-453	breast	8401
COLO 205	colon	8366
HCT 15	colon	8100
AsPC-1	pancreatic	7990
22Rv1	prostate	7742
SK-OV-3	ovarian	7565
Jiyoye	lymphoma	7407
NCI-H1975	lung	7040
NCI-H522	lung	6971
MDA-MB-361	breast	6881
ACHN	renal	6840
P12-Ichikawa	leukemia	6762
NCI-H292	lung	6746
NCI-H358	lung	6670
MKN28	gastric	6600
NCI-N87	gastric	6145
P32/ISH	lymphoma	5958
CFPAC-1	cystic fibrosis	5799
CFPAC-1	pancreatic	5799
OCI-AML2	leukemia	5790
Caki-1	renal	5750
SK-HEP-1	hepatocellular	5620
Capan-1	pancreatic	5430
C32 [Human melanoma]	melanoma	5408
CAS-1	glioblastoma	5380
NCI-H441	lung	5110
IGROV-1	ovarian	5024
786-O	renal	5002
CAMA-1	breast	4940
Namalwa	lymphoma	4937
Sc-1	lymphoma	4700
SK-MES-1	lung	4480
NCI-H446	lung	4467
NCI-H520	lung	4331
MV4-11	leukemia	4324
Calu-3	lung	4320
MDA-MB-157	breast	4130
ES-2	ovarian	4120
C-33 A	cervical	4105
SK-MEL-2	melanoma	4021
J82	bladder	3974
A2058	melanoma	3884
NCI-H1650	lung	3840
VCaP	prostate	3767
NALM-6	leukemia	3737
SW1990	pancreatic	3602
MeWo	melanoma	3600
CRO-AP2	lymphoma	3547
HCC827	lung	3480
NCI-H82	lung	3470
Capan-2	pancreatic	3430
LS180	colon	3394
SK-MEL-5	melanoma	3249
PA-1	ovarian	3210
MS-1 [Human lung carcinoma]	lung	3190
Calu-6	lung	3170
HCC1937	breast	3160
NCI-H322M	lung	3160
SW1116	colon	3085
SW48	colon	3054
OVCAR-8	ovarian	3025
Daoy	medulloblastoma	2971
SET-2	leukemia	2930
OVCAR-5	ovarian	2917
CESS	myeloid leukemia	2910
JIMT-1	breast	2850
Kasumi-1	leukemia	2820
SU-DHL-4	lymphoma	2760
UM-UC-3	bladder	2751
JeKo-1	lymphoma	2670
UACC-62	melanoma	2660
H4	astrocytoma	2620
KM12	colon	2510
BPH-1	prostate	2500
MSTO-211H	mesothelioma	2413
BC-1	lymphoma	2360
SK-N-AS	neuroblastoma	2280
NCI-H209	lung	2245
U-251MG	astrocytoma	2229
OVCAR-4	ovarian	2201
LOX-IMVI	melanoma	2200
Hep 3B2.1-7	hepatocellular	2195
NCI-H187	lung	2190
HCC2998	colon	2139
Caov-3	ovarian	2130
NCI-H596	lung	2121
A-375	melanoma	2109
