ncit	disease	search
C80307	Waldenstrom macroglobulinemia	waldenstrom
Orphanet_424046	Acinar cell carcinoma of pancreas	pancreatic
C4022	Acral lentiginous melanoma	melanoma
C4673	Acute biphenotypic leukemia	leukemia
Orphanet_318	Acute erythroid leukemia	leukemia
C8923	Acute erythroid leukemia	leukemia
C7464	Acute leukemia of ambiguous lineage	leukemia
C3167	Acute lymphoblastic leukemia	leukemia
Orphanet_513	Acute lymphoblastic leukemia	leukemia
Orphanet_518	Acute megakaryoblastic leukemia	leukemia
C3170	Acute megakaryoblastic leukemia	leukemia
Orphanet_99887	Acute megakaryoblastic leukemia in Down syndrome	leukemia
C7171	Acute monoblastic leukemia	leukemia
Orphanet_514	Acute monoblastic leukemia	leukemia
Orphanet_98834	Acute myeloblastic leukemia with maturation	leukemia
Orphanet_519	Acute myeloid leukemia	leukemia
C3171	Acute myeloid leukemia	leukemia
C82426	"Acute myeloid leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2) GATA2, MECOM"	leukemia
Orphanet_402020	Acute myeloid leukemia with inv3(q21;q26.2) or t(3;3)(q21;q26.2)	leukemia
Orphanet_98832	Acute myeloid leukemia with minimal differentiation	leukemia
C8460	Acute myeloid leukemia with minimal differentiation	leukemia
C7600	Acute myeloid leukemia with myelodysplasia-related changes	leukemia
C132105	"Acute myeloid leukemia with t(6;11)(q27;q23), KMT2A-MLLT4"	leukemia
C7463	Acute myelomonocytic leukemia	leukemia
Orphanet_517	Acute myelomonocytic leukemia	leukemia
Orphanet_520	Acute promyelocytic leukemia	leukemia
C3182	Acute promyelocytic leukemia with t(15;17)(q22;q12) PML-RARA	leukemia
Orphanet_213504	Adenocarcinoma of ovarian	ovarian
Orphanet_213772	Adenocarcinoma of the cervix uteri	cervical
Orphanet_99976	Adenocarcinoma of the esophagus	esophagus
Orphanet_424991	Adenocarcinoma of the gallbladder and extrahepatic biliary tract	gallbladder
Orphanet_104075	Adenocarcinoma of the small instestine	intestine
C9133	Adenosquamous lung carcinoma	lung
C9325	Adrenal cortex carcinoma	adrenal
C4827	Adrenal gland neuroblastoma	adrenal
C3326	Adrenal gland pheochromocytoma	adrenal
C7965	Adult acute megakaryoblastic leukemia	leukemia
C8263	Adult acute monocytic leukemia	leukemia
C9154	Adult acute myeloid leukemia	leukemia
C7961	Adult acute myeloid leukemia with maturation	leukemia
C8303	Adult acute myeloid leukemia with minimal differentiation	leukemia
C9143	Adult B acute lymphoblastic leukemia	leukemia
C114819	Adult B acute lymphoblastic leukemia with t(9;22)(q34;q11.2) BCR-ABL1	leukemia
C7954	Adult Burkitt leukemia	leukemia
C7956	Adult hepatocellular carcinoma	hepatocellular
Orphanet_210159	Adult hepatocellular carcinoma	hepatocellular
C7873	Adult immunoblastic lymphoma	lymphoma
C9142	Adult T acute lymphoblastic leukemia	leukemia
C7226	Adult T lymphoblastic lymphoma	lymphoma
C8285	AIDS-related immunoblastic lymphoma	lymphoma
C3992	AIDS-related Kaposi sarcoma	sarcoma
C5051	AIDS-related non-Hodgkin lymphoma	lymphoma
Orphanet_300903	ALK-negative anaplastic large cell lymphoma	lymphoma
Orphanet_300895	ALK-positive anaplastic large cell lymphoma	lymphoma
C3749	Alveolar rhabdomyosarcoma	rhabdomyosarcoma
Orphanet_99756	Alveolar rhabdomyosarcoma	rhabdomyosarcoma
C3750	Alveolar soft part sarcoma	sarcoma
Orphanet_163699	Alveolar soft tissue sarcoma	sarcoma
C3802	Amelanotic melanoma	melanoma
C4633	Amelanotic skin melanoma	melanoma
C6650	Ampulla of Vater adenocarcinoma	ampulla of vater
C27418	Ampulla of Vater adenosquamous carcinoma	ampulla of vater
C95966	Ampulla of Vater hepatoid adenocarcinoma	ampulla of vater
C96549	Anal canal neuroendocrine carcinoma	anal
C9161	Anal squamous cell carcinoma	anal
C9477	Anaplastic astrocytoma	astrocytoma
Orphanet_251589	Anaplastic astrocytoma	astrocytoma
C3720	Anaplastic large cell lymphoma	lymphoma
Orphanet_98841	Anaplastic large cell lymphoma	lymphoma
C37194	"Anaplastic large cell lymphoma, ALK-negative"	lymphoma
C37193	"Anaplastic large cell lymphoma, ALK-positive"	lymphoma
Orphanet_251663	Anaplastic oligoastrocytoma	glioma
C6959	Anaplastic oligoastrocytoma	astrocytoma
C4326	Anaplastic oligodendroglioma	glioma
Orphanet_251630	Anaplastic oligodendroglioma	glioma
Orphanet_142	Anaplastic thyroid carcinoma	thyroid
Orphanet_263413	Angiosarcoma	angiosarcoma
C3088	Angiosarcoma	angiosarcoma
C7542	Askin tumor	askin
C60781	Astrocytoma	astrocytoma
Orphanet_94	Astrocytoma	astrocytoma
Orphanet_100	Ataxia telangiectasia	ataxia telangiectasia
C2887	Ataxia telangiectasia syndrome	ataxia telangiectasia
Orphanet_98824	Atypical chronic myeloid leukemia	leukemia
C3519	"Atypical chronic myeloid leukemia, BCR-ABL1 negative"	leukemia
Orphanet_99966	Atypical teratoid rhabdoid tumor	rhabdoid
C6906	Atypical teratoid/rhabdoid tumor	rhabdoid
C8644	B acute lymphoblastic leukemia	leukemia
C80347	B acute lymphoblastic leukemia with t(1;19)(q23;p13.3) E2A-PBX1 (TCF3-PBX1)	leukemia
C36312	B acute lymphoblastic leukemia with t(9;22)(q34;q11.2) BCR-ABL1	leukemia
C80342	B acute lymphoblastic leukemia with t(v;11q23) KMT2A rearranged	leukemia
Orphanet_67038	B-cell chronic lymphocytic leukemia	leukemia
C80291	"B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma"	lymphoma
C27907	B-cell neoplasm	neoplasm
C3457	B-cell non-Hodgkin lymphoma	lymphoma
Orphanet_171915	B-cell non-Hodgkin lymphoma	lymphoma
C4753	B-cell prolymphocytic leukemia	leukemia
Orphanet_86852	B-cell prolymphocytic leukemia	leukemia
C7027	Barrett adenocarcinoma	barrett
C3739	Benign fibrous histiocytoma	histiocytoma
C3630	Benign parathyroid gland neoplasm	parathyroid
C2897	Benign prostatic hyperplasia	prostate
C5978	Benign salivary gland myoepithelioma	myoepithelioma
C3829	Benign synovial neoplasm	synovial
C27813	Bile duct adenocarcinoma	bile
C4279	Biphasic synovial sarcoma	synovial
C28244	Birt-Hogg-Dube syndrome	birt-hogg-dube 
Orphanet_122	Birt-Hogg-Dube syndrome	birt-hogg-dube 
Orphanet_124	Blackfan-Diamond anemia	blackfan-diamond
C4912	Bladder carcinoma	bladder
C4031	Bladder squamous cell carcinoma	bladder
C39851	Bladder urothelial carcinoma	bla
C7203	Blastic plasmacytoid dendritic cell neoplasm	dendritic
C6604	Bone fibrosarcoma	bone
C7154	Bone leiomyosarcoma	bone
Orphanet_206473	Borderline epithelial tumor of ovarian	ovarian
C5226	Borderline ovarian serous tumor	ovarian
C2907	Brain neoplasm	brain
C36100	BRCA1 syndrome	ovarian
C36101	BRCA2 syndrome	ovarian
C5214	Breast adenocarcinoma	breast
C4872	Breast carcinoma	breast
C5169	Breast neuroendocrine neoplasm	breast
C35875	Bronchogenic carcinoma	lung
C4040	Buccal mucosa squamous cell carcinoma	oral
Orphanet_543	Burkitt lymphoma	burkitt
C2912	Burkitt lymphoma	burkitt
Orphanet_100093	Carcinoid syndrome	bronchogenic
Orphanet_70482	Carcinoma of esophagus	esophagus
Orphanet_56044	Carcinoma of gallbladder and extrahepatic biliary tract	gallbladder
Orphanet_300557	Carcinoma of the ampulla of Vater	ampulla of vater
C6194	Carcinoma of the collecting ducts of Bellini	bellini
Orphanet_213610	Carcinosarcoma of the corpus uteri	corpus uteri
C5543	Cecum adenocarcinoma	colon
Orphanet_251870	Central nervous system primitive neuroectodermal tumor	central nervous system
C7611	Cerebral lymphoma	cerebral
C4029	Cervical adenocarcinoma	cervical
C4519	Cervical adenosquamous carcinoma	cervical
C40212	"Cervical adenosquamous carcinoma, glassy cell variant"	cervical
C9039	Cervical carcinoma	cervical
C6344	Cervical clear cell adenocarcinoma	cervical
C6343	Cervical endometrioid adenocarcinoma	cervical
C40187	Cervical keratinizing squamous cell carcinoma	cervical
C40206	"Cervical mucinous adenocarcinoma, minimal deviation type"	cervical
C128045	Cervical neuroendocrine carcinoma	cervical
C7982	Cervical small cell carcinoma	cervical
C4028	"Cervical squamous cell carcinoma, not otherwise specified"	cervical
C3168	Childhood acute lymphoblastic leukemia	leukemia
C7972	Childhood acute megakaryoblastic leukemia	leukemia
C9163	Childhood acute monocytic leukemia	leukemia
C9160	Childhood acute myeloid leukemia	leukemia
C9381	Childhood acute myeloid leukemia with maturation	leukemia
C9140	Childhood B acute lymphoblastic leukemia	leukemia
C68659	Childhood B acute lymphoblastic leukemia with t(9;22)(q34;q11.2) BCR-ABL1	leukemia
C7320	"Childhood chronic myelogenous leukemia, BCR-ABL1 positive"	leukemia
C27372	Childhood desmoplastic small round cell tumor	desmoplastic
C115203	"Childhood embryonal tumor with multilayered rosettes, C19MC-altered"	embryonal
C7955	Childhood hepatocellular carcinoma	hepatocellular
C114483	Childhood Langerhans cell histiocytosis	langerhans
C5165	Childhood lymphoma	lymphoma
C114812	Childhood pineoblastoma	pineoblastoma
C7953	Childhood T acute lymphoblastic leukemia	leukemia
C7210	Childhood T lymphoblastic lymphoma	lymphoma
C4436	Cholangiocarcinoma	cholangiocarcinoma
Orphanet_70567	Cholangiocarcinoma	cholangiocarcinoma
