identifier	synonyms	search	citations	isAuthor	letterCnt	numCnt	totalCnt	filtered_citations	summed_citations
Detroit 562	detroit-562	pharyngeal	317	FALSE	7	3	10	317	411
Detroit 562	detroit 562	pharyngeal	317	FALSE	7	3	10	317	411
Detroit 562	d562	pharyngeal	24	FALSE	1	3	4	24	411
Detroit 562	det. 562	pharyngeal	10	FALSE	3	3	6	10	411
Detroit 562	detroit562	pharyngeal	60	FALSE	7	3	10	60	411
Detroit 562	det 562	pharyngeal	10	FALSE	3	3	6	10	411
TYK-nu	tyk-nu	ovarian	174	FALSE	5	0	5	174	240
FU-OV-1	fuov1	ovarian	49	FALSE	4	1	5	49	70
Kuramochi	kuramochi	ovarian	1290	FALSE	9	0	9	1290	1290
Caov-4	caov-4	ovarian	169	FALSE	4	1	5	169	237
OVCAR-3	ovcar 3	ovarian	9340	FALSE	5	1	6	9340	15362
HEY	hey	ovarian	3570	FALSE	3	0	3	NA	NA
OVCAR-8	ovcar8	ovarian	947	FALSE	5	1	6	947	3078
OAW28	oaw 28	ovarian	20	FALSE	3	2	5	20	106
OAW28	oaw-28	ovarian	20	FALSE	3	2	5	20	106
OVCAR-8	ovca8	ovarian	15	FALSE	4	1	5	15	3078
OVCAR-4	ovcar.4	ovarian	1470	FALSE	5	1	6	1470	1973
OVCAR-8	nih:ovcar-8	ovarian	16	FALSE	8	1	9	16	3078
OVCAR-4	ovcar4	ovarian	483	FALSE	5	1	6	483	1973
JHOS-4	jhos-4	ovarian	16	FALSE	4	1	5	16	49
OVCAR-3	nih:ovcar-3	ovarian	1250	FALSE	8	1	9	1250	15362
OVCAR-3	ovcar-3	ovarian	9340	FALSE	5	1	6	9340	15362
Caov-4	caov4	ovarian	68	FALSE	4	1	5	68	237
Caov-3	caov-3	ovarian	1540	FALSE	4	1	5	1540	3233
OVCAR-5	ovcar5	ovarian	916	FALSE	5	1	6	916	2898
TYK-nu	tyknu	ovarian	66	FALSE	5	0	5	66	240
OVCAR-5	ovcar-5	ovarian	1920	FALSE	5	1	6	1920	2898
OVCAR-3	ovcar3	ovarian	4460	FALSE	5	1	6	4460	15362
OVCAR-3	nihovcar3	ovarian	35	FALSE	8	1	9	35	15362
OVCAR-8	ovcar-8	ovarian	2100	FALSE	5	1	6	2100	3078
Caov-3	caov3	ovarian	1660	FALSE	4	1	5	1660	3233
OVCAR-5	nih:ovcar-5	ovarian	55	FALSE	8	1	9	55	2898
OVCAR-3	nih:ovcar3	ovarian	277	FALSE	8	1	9	277	15362
JHOS-4	jhos4	ovarian	33	FALSE	4	1	5	33	49
OVCAR-3	ovcar.3	ovarian	9340	FALSE	5	1	6	9340	15362
Caov-3	ca-ov-3	ovarian	33	FALSE	4	1	5	33	3233
OVCAR-3	nih-ovcar-3	ovarian	1250	FALSE	8	1	9	1250	15362
OVCAR-4	ovcar-4	ovarian	1470	FALSE	5	1	6	1470	1973
JHOS-2	jhos2	ovarian	34	FALSE	4	1	5	34	82
JHOS-2	jhos-2	ovarian	48	FALSE	4	1	5	48	82
OVCAR-4	nih:ovcar-4	ovarian	15	FALSE	8	1	9	15	1973
OVCAR-4	ovcar 4	ovarian	1470	FALSE	5	1	6	1470	1973
OVCAR-5	ovca5	ovarian	7	FALSE	4	1	5	7	2898
OVCAR-5	ovcar 5	ovarian	1920	FALSE	5	1	6	1920	2898
OVCAR-4	nih:ovcar4	ovarian	5	FALSE	8	1	9	5	1973
OVCAR-8	ovcar 8	ovarian	2100	FALSE	5	1	6	2100	3078
OAW28	oaw28	ovarian	86	FALSE	3	2	5	86	106
FU-OV-1	fu-ov-1	ovarian	21	FALSE	4	1	5	21	70
OVKATE	ovkate	ovarian	67	FALSE	6	0	6	67	67
OVMIU	ovmiu	ovarian	11	FALSE	5	0	5	11	11
OVCAR-8	ovcar.8	ovarian	2100	FALSE	5	1	6	2100	3078
OVCAR-5	ovcar.5	ovarian	1920	FALSE	5	1	6	1920	2898
MFE-319	mfe319	endometrial	9	FALSE	3	3	6	9	30
RL95-2	rl-95-2	endometrial	211	FALSE	2	3	5	211	3010
RL95-2	rl-952	endometrial	48	FALSE	2	3	5	48	3010
MFE-319	mfe-319	endometrial	21	FALSE	3	3	6	21	30
RL95-2	rl95	endometrial	1400	FALSE	2	2	4	1400	3010
RL95-2	rl95-2	endometrial	1290	FALSE	2	3	5	1290	3010
RL95-2	rl952	endometrial	61	FALSE	2	3	5	61	3010
Ca9-22	ca9-22	gingival	624	FALSE	2	3	5	624	698
Ca9-22	ca 9-22	gingival	53	FALSE	2	3	5	53	698
Ca9-22	ca922	gingival	21	FALSE	2	3	5	21	698
DOK	dysplastic oral keratinocyte	oral	73	FALSE	26	0	26	73	73
DOK	dok	oral	2080	FALSE	3	0	3	NA	73
U-CH2	uch2	chordoma	16	FALSE	3	1	4	16	61
U-CH2	u-ch2	chordoma	45	FALSE	3	1	4	45	61
HMV-II	hmv-2	vaginal	2	FALSE	3	1	4	2	27
